Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
DRGX	ENST00000374139.2	dorsal root ganglia homeobox 	5	1	1	0	0	1	0	0	1	0	hsa-miR-328-3p	0.1657	0.8412	2.3046	-0.99	-0.99	N/A	NULL
EIF4EBP1	ENST00000338825.4	eukaryotic translation initiation factor 4E binding protein 1 	121	1	1	0	0	1	0	1	0	2	hsa-miR-328-3p	0.0380	0.2478	1.0433	-0.85	-0.98	N/A	2011
PGM2	ENST00000381967.4	phosphoglucomutase 2 	232	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.1307	0.5730	1.2808	-0.72	-0.72	N/A	2011
DNAJC4	ENST00000355040.4	DnaJ (Hsp40) homolog, subfamily C, member 4 	67	1	1	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0274	0.1774	0.7142	-0.68	-0.68	N/A	NULL
FOXS1	ENST00000375978.3	forkhead box S1 	9	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0289	0.1883	0.7971	-0.62	-0.62	N/A	2011
CTNNBIP1	ENST00000377263.1	catenin, beta interacting protein 1 	493	1	1	0	0	1	0	1	0	0	hsa-miR-328-3p	0.0292	0.1856	0.6939	-0.62	-0.70	N/A	2009, 2011
CHP2	ENST00000300113.2	calcineurin-like EF-hand protein 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0584	0.3142	0.7719	-0.61	-0.61	N/A	2011
DUSP16	ENST00000298573.4	dual specificity phosphatase 16 	444	1	1	0	0	1	0	0	1	0	hsa-miR-328-3p	0.0640	0.3593	1.0650	-0.61	-0.61	N/A	NULL
CHST7	ENST00000276055.3	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7 	406	1	1	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0834	0.4071	0.8821	-0.60	-0.64	N/A	2007, 2009, 2011
TCF7L2	ENST00000369386.1	transcription factor 7-like 2 (T-cell specific, HMG-box) 	650	1	1	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0645	0.3519	0.9742	-0.59	-0.61	N/A	2011
KLHL42	ENST00000381271.2	kelch-like family member 42 	2120	1	1	0	0	1	0	0	1	0	hsa-miR-328-3p	0.1113	0.5362	1.3344	-0.56	-0.58	N/A	2009, 2011
EDARADD	ENST00000359362.5	EDAR-associated death domain 	76	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0750	0.3824	0.9115	-0.55	-0.55	N/A	2007, 2011
LYVE1	ENST00000256178.3	lymphatic vessel endothelial hyaluronan receptor 1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.1365	0.5541	1.0431	-0.54	-0.54	N/A	NULL
FUBP1	ENST00000370767.1	far upstream element (FUSE) binding protein 1 	2021	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0876	0.4416	1.1005	-0.52	-0.52	N/A	NULL
UBFD1	ENST00000395878.3	ubiquitin family domain containing 1 	6826	2	2	0	0	0	0	0	0	2	hsa-miR-328-3p	0.1084	0.6225	1.9104	-0.51	-0.53	N/A	2007, 2009, 2011
NF2	ENST00000347330.5	neurofibromin 2 (merlin) 	828	1	0	1	0	1	0	1	0	2	hsa-miR-328-3p	0.0904	0.5414	1.9384	-0.50	-0.61	N/A	2011
NXPH3	ENST00000328741.5	neurexophilin 3 	65	1	1	0	0	2	0	1	1	4	hsa-miR-328-3p	0.0431	0.2854	1.2751	-0.50	-0.90	N/A	2011
SNX21	ENST00000462307.1	sorting nexin family member 21 	343	1	0	0	1	1	1	0	0	0	hsa-miR-328-3p	0.0609	0.3357	1.0147	-0.47	-0.60	N/A	NULL
DYNC1I1	ENST00000447467.2	dynein, cytoplasmic 1, intermediate chain 1 	25	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0573	0.3412	1.1804	-0.47	-0.47	N/A	2007, 2011
TMEM229A	ENST00000455783.1	transmembrane protein 229A 	5	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0288	0.1808	0.6373	-0.46	-0.46	N/A	2011
TESK2	ENST00000372084.1	testis-specific kinase 2 	11	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0684	0.3587	0.8951	-0.45	-0.45	N/A	2007, 2009, 2011
NR3C1	ENST00000394464.2	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) 	682	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0700	0.3968	1.2810	-0.45	-0.47	N/A	2007, 2009, 2011
CHTF8	ENST00000448552.2	CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae) 	13	1	1	0	0	1	0	1	0	2	hsa-miR-328-3p	0.0424	0.2882	1.3996	-0.45	-0.45	N/A	2007, 2009, 2011
RGL2	ENST00000497454.1	ral guanine nucleotide dissociation stimulator-like 2 	150	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0233	0.1519	0.6129	-0.44	-0.44	N/A	2011
PIGA	ENST00000542278.1	phosphatidylinositol glycan anchor biosynthesis, class A 	104	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0527	0.2915	0.7622	-0.43	-0.44	N/A	2011
NPFFR1	ENST00000277942.6	neuropeptide FF receptor 1 	5	1	0	1	0	3	0	2	1	1	hsa-miR-328-3p	0.1622	0.9374	3.3509	-0.43	-0.43	N/A	NULL
NOTCH2NL	ENST00000369340.3	notch 2 N-terminal like 	5	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0971	0.4435	0.8621	-0.42	-0.42	N/A	NULL
RANBP10	ENST00000317506.3	RAN binding protein 10 	140	1	1	0	0	2	1	1	0	2	hsa-miR-328-3p	0.0663	0.4263	1.7783	-0.42	-0.43	N/A	2009, 2011
SLC2A1	ENST00000426263.3	solute carrier family 2 (facilitated glucose transporter), member 1 	13928	1	0	1	0	1	0	1	0	0	hsa-miR-328-3p	0.0694	0.4304	1.5224	-0.42	-0.42	N/A	2007, 2011
FAM214B	ENST00000378566.1	family with sequence similarity 214, member B 	8	1	1	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0329	0.2156	0.8995	-0.41	-0.41	N/A	2009, 2011
RWDD2B	ENST00000493196.1	RWD domain containing 2B 	266	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0516	0.2752	0.6743	-0.41	-0.49	N/A	2011
FAXDC2	ENST00000326080.5	fatty acid hydroxylase domain containing 2 	43	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0402	0.2393	0.7456	-0.40	-0.40	N/A	2011
SRSF9	ENST00000229390.3	serine/arginine-rich splicing factor 9 	946	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0368	0.2203	0.6784	-0.40	-0.40	N/A	NULL
ULK2	ENST00000395544.4	unc-51 like autophagy activating kinase 2 	489	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.1102	0.5055	1.1681	-0.40	-0.42	N/A	2007, 2011
ITGA5	ENST00000293379.4	integrin, alpha 5 (fibronectin receptor, alpha polypeptide) 	5599	1	0	1	0	1	0	0	1	3	hsa-miR-328-3p	0.0855	0.5097	1.9378	-0.39	-0.39	N/A	2007, 2009, 2011
C16orf87	ENST00000394806.2	chromosome 16 open reading frame 87 	95	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0588	0.3164	0.7831	-0.39	-0.39	N/A	NULL
EN2	ENST00000297375.4	engrailed homeobox 2 	86	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0739	0.3852	0.9795	-0.38	-0.39	N/A	2009, 2011
PARP16	ENST00000261888.6	poly (ADP-ribose) polymerase family, member 16 	97	1	1	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0191	0.1324	0.6795	-0.38	-0.38	N/A	2009, 2011
MAN1C1	ENST00000374332.4	mannosidase, alpha, class 1C, member 1 	60	1	1	0	0	1	0	1	0	1	hsa-miR-328-3p	0.0356	0.2365	1.0684	-0.38	-0.39	N/A	2009, 2011
MMP16	ENST00000286614.6	matrix metallopeptidase 16 (membrane-inserted) 	12	1	0	0	1	1	1	0	0	0	hsa-miR-328-3p	0.1195	0.6343	1.7543	-0.37	-0.37	N/A	2007, 2009, 2011
ADNP	ENST00000371602.4	activity-dependent neuroprotector homeobox 	635	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0544	0.3103	0.9226	-0.37	-0.37	N/A	2009, 2011
TRAPPC6B	ENST00000330149.5	trafficking protein particle complex 6B 	69	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0525	0.2667	0.6418	-0.36	-0.56	N/A	2009, 2011
DDI2	ENST00000480945.1	DNA-damage inducible 1 homolog 2 (S. cerevisiae) 	357	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0765	0.4009	1.0759	-0.35	-0.35	N/A	NULL
PSME3	ENST00000541124.1	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki) 	3605	2	0	2	0	0	0	0	0	0	hsa-miR-328-3p	0.0035	0.0252	0.1606	-0.35	-0.35	N/A	2007, 2009, 2011
GBA	ENST00000368373.3	glucosidase, beta, acid 	27	1	1	0	0	2	0	2	0	0	hsa-miR-328-3p	0.0666	0.4307	1.7577	-0.35	-0.39	N/A	NULL
DERL2	ENST00000572834.1	derlin 2 	261	1	0	1	0	1	0	1	0	0	hsa-miR-328-3p	0.0591	0.3423	1.0642	-0.34	-0.40	N/A	NULL
HPCAL4	ENST00000372844.3	hippocalcin like 4 	5	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0476	0.2726	0.7761	-0.34	-0.34	N/A	2009, 2011
SHISA5	ENST00000296444.2	shisa family member 5 	3921	1	0	0	1	1	0	1	0	1	hsa-miR-328-3p	0.0311	0.2128	1.0408	-0.34	-0.34	N/A	2007
PODNL1	ENST00000538517.2	podocan-like 1 	9	1	1	0	0	1	0	1	0	2	hsa-miR-328-3p	0.0464	0.3033	1.2814	-0.34	-0.61	N/A	2011
PIM1	ENST00000373509.5	pim-1 oncogene 	2041	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0287	0.1840	0.7210	-0.34	-0.34	N/A	2007, 2011
HIST1H4D	ENST00000340756.2	histone cluster 1, H4d 	5	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0055	0.0394	0.2327	-0.34	-0.34	N/A	2011
SLC30A8	ENST00000427715.2	solute carrier family 30 (zinc transporter), member 8 	5	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0660	0.3581	0.9783	-0.34	-0.34	N/A	2011
USP37	ENST00000258399.3	ubiquitin specific peptidase 37 	14	1	1	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0461	0.2759	0.9213	-0.33	-0.34	N/A	2007, 2009, 2011
KAT6B	ENST00000287239.4	K(lysine) acetyltransferase 6B 	266	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0805	0.4403	1.3096	-0.33	-0.33	N/A	2009, 2011
LNX2	ENST00000316334.3	ligand of numb-protein X 2 	760	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0492	0.2775	0.7562	-0.33	-0.33	N/A	2009, 2011
MXI1	ENST00000332674.5	MAX interactor 1, dimerization protein 	278	1	0	0	1	1	0	0	1	0	hsa-miR-328-3p	0.0213	0.1450	0.7105	-0.33	-0.33	N/A	NULL
HIST1H4L	ENST00000355981.2	histone cluster 1, H4l 	5	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0036	0.0263	0.1669	-0.32	-0.32	N/A	2011
USP8	ENST00000396444.3	ubiquitin specific peptidase 8 	109	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0660	0.3590	1.0721	-0.32	-0.38	N/A	NULL
