Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
ZNF107	ENST00000344930.3	zinc finger protein 107 	209	3	0	0	3	0	hsa-miR-1185-5p	0.0260	0.1880	1.2160	-1.08	-1.08	N/A
AMY2B	ENST00000361355.4	amylase, alpha 2B (pancreatic) 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0170	0.1133	0.4855	-1.01	-1.01	N/A
KRTAP9-8	ENST00000254072.6	keratin associated protein 9-8 	5	3	0	1	2	0	hsa-miR-1185-5p	0.0357	0.2383	1.0920	-0.94	-0.94	N/A
KRTAP9-2	ENST00000377721.3	keratin associated protein 9-2 	5	3	0	1	2	0	hsa-miR-1185-5p	0.0357	0.2383	1.0920	-0.94	-0.94	N/A
CYGB	ENST00000293230.5	cytoglobin 	10	4	0	0	4	0	hsa-miR-1185-5p	0.0200	0.1370	0.6871	-0.79	-0.79	N/A
TMEM253	ENST00000418511.2	transmembrane protein 253 	25	2	1	1	0	0	hsa-miR-1185-5p	0.0278	0.1887	0.8729	-0.78	-0.78	N/A
GNG2	ENST00000556752.1	guanine nucleotide binding protein (G protein), gamma 2 	199	3	1	0	2	0	hsa-miR-1185-5p	0.0340	0.2316	1.0877	-0.78	-0.90	N/A
VWC2	ENST00000340652.4	von Willebrand factor C domain containing 2 	5	4	2	1	1	0	hsa-miR-1185-5p	0.0786	0.5196	2.3639	-0.77	-0.77	N/A
SCGB1C1	ENST00000342878.2	secretoglobin, family 1C, member 1 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0209	0.1364	0.5385	-0.76	-0.76	N/A
NCMAP	ENST00000374392.2	noncompact myelin associated protein 	17	2	1	0	1	0	hsa-miR-1185-5p	0.0550	0.3113	0.9050	-0.75	-0.75	N/A
CD5L	ENST00000368174.4	CD5 molecule-like 	5	2	1	0	1	1	hsa-miR-1185-5p	0.0451	0.2902	1.2238	-0.74	-0.74	N/A
C7orf76	ENST00000356686.1	chromosome 7 open reading frame 76 	5	2	1	1	0	0	hsa-miR-1185-5p	0.0586	0.3687	1.3353	-0.72	-0.72	N/A
TMEM14B	ENST00000467317.1	transmembrane protein 14B 	5	2	1	1	0	0	hsa-miR-1185-5p	0.0252	0.1706	0.7883	-0.69	-0.69	N/A
IFITM3	ENST00000399808.4	interferon induced transmembrane protein 3 	117	1	1	0	0	0	hsa-miR-1185-5p	0.0214	0.1397	0.5635	-0.69	-0.69	N/A
DKFZP434E1119	ENST00000598970.1		5	2	2	0	0	1	hsa-miR-1185-5p	0.0508	0.3250	1.2647	-0.69	-0.69	N/A
IGLL5	ENST00000532223.2	immunoglobulin lambda-like polypeptide 5 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0431	0.2496	0.7108	-0.67	-0.67	N/A
AC124890.1	ENST00000399333.3	HCG1774533, isoform CRA_a; PRO2268; Uncharacterized protein  	15	3	1	0	2	0	hsa-miR-1185-5p	0.0170	0.1203	0.6822	-0.66	-0.66	N/A
PATE2	ENST00000358524.3	prostate and testis expressed 2 	5	2	1	1	0	0	hsa-miR-1185-5p	0.0210	0.1369	0.5399	-0.66	-0.66	N/A
IFITM2	ENST00000399817.4	interferon induced transmembrane protein 2 	156	1	1	0	0	0	hsa-miR-1185-5p	0.0209	0.1364	0.5372	-0.66	-0.66	N/A
CTSK	ENST00000271651.3	cathepsin K 	10	1	1	0	0	0	hsa-miR-1185-5p	0.0198	0.1347	0.6431	-0.64	-0.64	N/A
KRTAP9-4	ENST00000334109.2	keratin associated protein 9-4 	5	3	0	1	2	0	hsa-miR-1185-5p	0.0307	0.2081	1.0034	-0.64	-0.99	N/A
GPR82	ENST00000302548.4	G protein-coupled receptor 82 	5	2	1	1	0	0	hsa-miR-1185-5p	0.0625	0.3790	1.2621	-0.63	-0.63	N/A
AK3	ENST00000381809.3	adenylate kinase 3 	323	3	1	0	2	0	hsa-miR-1185-5p	0.0377	0.2373	0.8900	-0.62	-0.81	N/A
ADRB3	ENST00000345060.3	adrenoceptor beta 3 	5	2	0	1	1	2	hsa-miR-1185-5p	0.0414	0.2710	1.1863	-0.62	-0.62	N/A
CDC42SE1	ENST00000439374.2	CDC42 small effector 1 	231	3	1	1	1	0	hsa-miR-1185-5p	0.0721	0.3896	1.1218	-0.62	-0.81	N/A
HTR5A	ENST00000287907.2	5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled 	5	2	1	0	1	1	hsa-miR-1185-5p	0.0330	0.2165	0.9518	-0.62	-0.71	N/A
ARL6	ENST00000463745.1	ADP-ribosylation factor-like 6 	275	3	1	1	1	1	hsa-miR-1185-5p	0.0382	0.2574	1.2046	-0.62	-0.85	N/A
UBL5	ENST00000593087.1	ubiquitin-like 5 	413	2	0	0	2	0	hsa-miR-1185-5p	0.0066	0.0480	0.3055	-0.61	-0.61	N/A
ARSH	ENST00000381130.2	arylsulfatase family, member H 	5	1	1	0	0	0	hsa-miR-1185-5p	0.0239	0.1531	0.5719	-0.60	-0.60	N/A
LUZP2	ENST00000533227.1	leucine zipper protein 2 	33	2	1	0	1	0	hsa-miR-1185-5p	0.0559	0.3408	1.2414	-0.60	-0.60	N/A
KRTAP9-3	ENST00000411528.2	keratin associated protein 9-3 	5	2	0	0	2	0	hsa-miR-1185-5p	0.0205	0.1433	0.7766	-0.59	-0.59	N/A
