miRNA,logFC,FC_abs,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,B,consistent_direction,FDR_significant,moderated_only_candidate,exploratory_candidate
hsa-miR-30e-5p,-1.10616666666667,2.15272892820093,-0.36485,-1.45294,-1.50071,-4.56773473943489,0.0040976486304797,0.724792089759262,0.09644521951814329,-1.59853010007691,True,False,True,False
hsa-miR-628-3p,-1.30330666666667,2.46793888162981,-0.53311,-1.43434,-1.94247,-4.70039763219191,0.0049983816360084,0.789387271229624,0.08710947262381556,-1.73382978855936,True,False,True,False
hsa-miR-3162-5p,-1.04301666666667,2.06053171129842,-1.79056,-0.65512,-0.68337,-4.26805957344312,0.0057176453739784,0.79819895643914,0.10805284222547928,-1.850243282214,True,False,True,False
hsa-miR-4685-3p,-0.867526666666667,1.82453226869559,-0.2314,-1.39116,-0.98002,-3.99223158618848,0.0059574541035228,0.79819895643914,0.12505016647103778,-1.90950995116485,True,False,True,False
hsa-miR-3621,-0.671893333333333,1.59316239664073,-0.77468,-1.11399,-0.12701,-3.58509103438616,0.0079072475399455,0.852825576137544,0.14605951435602718,-2.17430388803152,True,False,True,False
hsa-miR-6132,-0.69915,1.62354795683275,-0.42355,-0.35451,-1.31939,-3.506824060664,0.0096694601728199,0.919336896289933,0.15337160431099475,-2.32343121297754,True,False,True,False
hsa-miR-6771-5p,-0.63568,1.55366988433829,-1.19633,-0.50111,-0.2096,-3.36307488036813,0.0109225739366035,0.965992438953215,0.16199333539842156,-2.43945045307533,True,False,True,False
hsa-miR-6816-5p,-0.91607,1.88696805583073,-1.32023,-1.29551,-0.13247,-3.52171507998071,0.0147615861213883,0.971715209856342,0.1443829969220671,-2.58728980579675,True,False,True,False
hsa-miR-28-5p,-1.05842,2.08264941180104,-1.8737,-0.96278,-0.33878,-3.48203945833191,0.0186027101769829,0.971715209856342,0.14079821431436795,-2.73870927241247,True,False,True,False
hsa-miR-6813-5p,-0.86489,1.82120080226792,-0.67074,-1.66655,-0.25738,-3.0797674992104,0.0265715866166369,0.971715209856342,0.17454959108985868,-3.05743760892317,True,False,True,False
hsa-miR-487a-3p,-0.664153333333333,1.58463803229916,-0.28315,-1.4175,-0.29181,-2.69161169848956,0.0376362965646372,0.971715209856342,0.21992569625982764,-3.39528395647365,True,False,True,False
hsa-miR-4467,-0.61989,1.53675800487833,-0.52223,-1.29209,-0.04535,-2.63287406449474,0.0387254696379275,0.971715209856342,0.22999038560391064,-3.43739923731965,True,False,True,False
